Test No.,Test ID. (Samples),Cycle 1_mbar,Cycle 1_Pa,Cycle 2_mbr,Cycle 2_Pa,Comments
1,0.1,396.3,5,0.3,39,Master with MC-Off@0.25cc/min-1
2,0.1,396,4,0.4,36,Master with MC-Off@0.25cc/min-2
3,0.1,396.3,5,0.4,36,Master with MC-Off@0.25cc/min-3
4,0.1,396.3,5,0.3,32,Master with MC-Off@0.25cc/min-4
5,0.1,396,4,0.1,30,Master with MC-Off@0.25cc/min-5
6,0.5,403.3,7,2.9,115,Master with MC-On@0.25cc/min-1
7,0.5,403,6,2.7,114,Master with MC-On@0.25cc/min-2
8,0.5,403.3,6,2.7,113,Master with MC-On@0.25cc/min-3
9,0.5,403.3,7,2.6,112,Master with MC-On@0.25cc/min-4
10,0.5,403.3,6,2.5,111,Master with MC-On@0.25cc/min-5
11,41,409.9,7,2.3,101,Positive SPL_5um-Bottom_PID:811580
12,41,412.2,7,3.1,127,Positive SPL_5um-Neck_PID:811655
13,41,411.9,7,3.1,126,Positive SPL_5um-Bottom_PID:811569
14,41,410.7,6,2.4,106,Positive SPL_5um-Neck_PID:811642
15,41,410.5,7,2.8,113,Positive SPL_5um-Bottom_PID:811563
16,1,408.4,7,1.1,54,10R_SPL-1
17,2,407.3,6,0.1,23,10R_SPL-2
18,3,409,9,0.1,23,10R_SPL-3
19,4,410.2,4,0.1,22,10R_SPL-4
20,5,408.2,11,0.1,22,10R_SPL-5
21,6,407.9,11,0.1,22,10R_SPL-6
22,7,409.6,11,0.1,22,10R_SPL-7
23,8,411.6,5,0.1,22,10R_SPL-8
24,9,410.5,11,0.1,21,10R_SPL-9
25,10,409.3,5,0.1,21,10R_SPL-10
27,11,411.3,10,0.1,24,10R_SPL-11
28,12,407.3,10,0.1,22,10R_SPL-12
29,13,409,4,0.1,22,10R_SPL-13
30,14,410.5,11,0.1,21,10R_SPL-14
31,15,409,10,0.1,22,10R_SPL-15
32,16,411.3,11,0.1,19,10R_SPL-16
33,17,411.3,5,0.1,20,10R_SPL-17
34,18,406.7,10,0.1,23,10R_SPL-18
35,19,413.1,10,0.1,18,10R_SPL-19
36,20,412.2,9,0.1,18,10R_SPL-20
38,21,410.5,11,0.2,27,10R_SPL-21
39,22,412.2,10,0.1,20,10R_SPL-22
40,23,409.3,10,0.1,19,10R_SPL-23
41,24,410.5,10,0.1,18,10R_SPL-24
42,25,411.9,6,0.1,17,10R_SPL-25
43,26,410.2,5,0.1,18,10R_SPL-26
44,27,409.6,9,0.1,18,10R_SPL-27
45,28,410.2,13,0.1,20,10R_SPL-28
46,29,410.2,5,0.1,17,10R_SPL-29
47,30,409.9,10,0.1,19,10R_SPL-30
48,31,410.7,11,0.1,20,10R_SPL-31
49,32,411.6,4,0.1,18,10R_SPL-32
50,33,409.6,10,0.1,19,10R_SPL-33
51,34,410.7,8,0.1,17,10R_SPL-34
52,35,411.6,9,0.1,18,10R_SPL-35
53,36,411,7,0.7,49,10R_SPL-36
54,37,409.3,11,0.1,16,10R_SPL-37
55,38,411.9,11,0.1,16,10R_SPL-38
56,39,409.6,4,0.1,18,10R_SPL-39
57,40,410.7,8,0.1,18,10R_SPL-40
